x,y,z
-1000,-1000,1.0
-900,-1000,1.0
-800,-1000,1.0
-700,-1000,1.0002949616195511
-600,-1000,1.0092347484078428
-500,-1000,1.016916423593556
-400,-1000,1.025364918144329
-300,-1000,1.0312437633531948
-200,-1000,1.0344368226482648
-100,-1000,1.0352251826609444
0,-1000,1.03502879288933
100,-1000,1.0321700906039815
200,-1000,1.0267757059227371
300,-1000,1.0180629347204246
400,-1000,1.0086204079186325
500,-1000,1.0003151588725663
600,-1000,1.0
700,-1000,1.0
800,-1000,1.0
900,-1000,1.0
1000,-1000,1.0
-1000,-900,1.0
-900,-900,1.0
-800,-900,1.0058156814295032
-700,-900,1.0159669017274378
-600,-900,1.0259305038809179
-500,-900,1.0319721861446556
-400,-900,1.0336186944652033
-300,-900,1.0329754095870392
-200,-900,1.0319853573264663
-100,-900,1.0334299825637243
0,-900,1.03527784556972
100,-900,1.0337271644789607
200,-900,1.0324363132023537
300,-900,1.0327376497803682
400,-900,1.0283306912346428
500,-900,1.0180593707043837
600,-900,1.0060916381312963
700,-900,1.0
800,-900,1.0
900,-900,1.0
1000,-900,1.0
-1000,-800,1.0
-900,-800,1.0077777001550383
-800,-800,1.0200114167344687
-700,-800,1.0280077950654074
-600,-800,1.027940559954402
-500,-800,1.0262947688465682
-400,-800,1.0266623604545482
-300,-800,1.022922279602487
-200,-800,1.0224889857452764
-100,-800,1.0252256422397021
0,-800,1.024264158501855
100,-800,1.0294699373321787
200,-800,1.0353888137830562
300,-800,1.0346322333161326
400,-800,1.030237016897391
500,-800,1.0288519762212636
600,-800,1.0218763155074129
700,-800,1.0079544780009666
800,-800,1.0
900,-800,1.0
1000,-800,1.0
-1000,-700,1.0045872990775462
-900,-700,1.0201191639996658
-800,-700,1.026720313524879
-700,-700,1.0242143310149383
-600,-700,1.0243974053944984
-500,-700,1.0226109427440395
-400,-700,1.0200492126321055
-300,-700,1.0183019594273208
-200,-700,1.0208821772304904
-100,-700,1.0233703956137978
0,-700,1.0213796380756335
100,-700,1.0241552051252758
200,-700,1.0211800465161014
300,-700,1.02129452074052
400,-700,1.0358175162712744
500,-700,1.0295416260872334
600,-700,1.0274428217169327
700,-700,1.0212426193076218
800,-700,1.005549618915405
900,-700,1.0
1000,-700,1.0
-1000,-600,1.0158643965916592
-900,-600,1.025123889601638
-800,-600,1.0237762123822707
-700,-600,1.0239438059043842
-600,-600,1.0212762185527453
-500,-600,1.01845719716454
-400,-600,1.01835744215099
-300,-600,1.019050430419688
-200,-600,1.0188518906187496
-100,-600,1.0189806715403442
0,-600,1.0187202694458468
100,-600,1.0183971054954493
200,-600,1.0189558443311255
300,-600,1.0186550069161489
400,-600,1.0216121133257754
500,-600,1.0287848593874096
600,-600,1.0292603611053779
700,-600,1.0259279037159605
800,-600,1.017674238480436
900,-600,1.0000724354376564
1000,-600,1.0
-1000,-500,1.0235917952069025
-900,-500,1.0229181702267203
-800,-500,1.0239343822016522
-700,-500,1.021839971972649
-600,-500,1.0188088750204312
-500,-500,1.0196710278794219
-400,-500,1.0188358394891548
-300,-500,1.0186054642069617
-200,-500,1.0180004859792815
-100,-500,1.0188832016119869
0,-500,1.0189187284458803
100,-500,1.019351709329374
200,-500,1.0203362484195413
300,-500,1.019473702579627
400,-500,1.0193766865136409
500,-500,1.021460745333827
600,-500,1.0277904348602622
700,-500,1.0272608713061082
800,-500,1.0240712187461933
900,-500,1.0087537036968452
1000,-500,1.0
-1000,-400,1.0235504415215717
-900,-400,1.0233428790021524
-800,-400,1.0243032586238818
-700,-400,1.0193649299507432
-600,-400,1.020112452313704
-500,-400,1.0192548016330116
-400,-400,1.0188570175066431
-300,-400,1.0190523679630437
-200,-400,1.0185444767482084
-100,-400,1.019472104967088
0,-400,1.0196560926805058
100,-400,1.020553444289883
200,-400,1.0210323478290222
300,-400,1.0214509551437796
400,-400,1.0199646585405926
500,-400,1.0198339403220544
600,-400,1.0233258604140372
700,-400,1.026099164790181
800,-400,1.0245996596478708
900,-400,1.0175238141640428
1000,-400,1.0
-1000,-300,1.0230631513347506
-900,-300,1.0261813469350751
-800,-300,1.0204139584739786
-700,-300,1.0186689268823406
-600,-300,1.0188123609427573
-500,-300,1.019588310567653
-400,-300,1.019023702428287
-300,-300,1.0195253462574811
-200,-300,1.0196430727190249
-100,-300,1.0190183576336922
0,-300,1.0195899645254114
100,-300,1.0202608157735218
200,-300,1.0241830641343515
300,-300,1.0210312061850901
400,-300,1.0207543852797423
500,-300,1.0216068771951008
600,-300,1.0209434051954436
700,-300,1.0226466443326971
800,-300,1.0267026026326695
900,-300,1.0224794799042132
1000,-300,1.0
-1000,-200,1.0247681329557852
-900,-200,1.026011048837942
-800,-200,1.0188146233580646
-700,-200,1.0188779303560473
-600,-200,1.0185018371669252
-500,-200,1.0187199541165397
-400,-200,1.0203655704245496
-300,-200,1.0207983568696997
-200,-200,1.0197366871350484
-100,-200,1.0186499391107744
0,-200,1.0194567555048801
100,-200,1.021682210280735
200,-200,1.0211518917906626
300,-200,1.0203661193007902
400,-200,1.0203087004777347
500,-200,1.0195353625456292
600,-200,1.0188613096558732
700,-200,1.0223326392627397
800,-200,1.0245527425252368
900,-200,1.0239600329597653
1000,-200,1.0017693241160515
-1000,-100,1.0273380462716792
-900,-100,1.0248884345919655
-800,-100,1.0197190216531133
-700,-100,1.0193502190701658
-600,-100,1.0190744974765844
-500,-100,1.019678800081549
-400,-100,1.0200003787658296
-300,-100,1.0206952497165713
-200,-100,1.0196468624464794
-100,-100,1.0200942005919926
0,-100,1.0202159248977425
100,-100,1.0208673426436976
200,-100,1.0194668484680978
300,-100,1.019715935748065
400,-100,1.0193740941731582
500,-100,1.018347586763141
600,-100,1.0178842301422717
700,-100,1.0205510506162523
800,-100,1.0231650283137865
900,-100,1.0241365475739352
1000,-100,1.0043902547509416
-1000,0,1.028597665258873
-900,0,1.0241771453570803
-800,0,1.0195780564987136
-700,0,1.02112639012038
-600,0,1.021004682127049
-500,0,1.0187252329629775
-400,0,1.0189873015105455
-300,0,1.0192200302800145
-200,0,1.0200635823057003
-100,0,1.0201817900030719
0,0,1.0233151691202496
100,0,1.0196737396687492
200,0,1.0190849095230292
300,0,1.0188968039837454
400,0,1.0180720213188412
500,0,1.0183241649717534
600,0,1.0178576333987208
700,0,1.0199226937192787
800,0,1.024671448977156
900,0,1.0248170502904637
1000,0,1.005140612025255
-1000,100,1.030651542535799
-900,100,1.0251629524078052
-800,100,1.0197086816734038
-700,100,1.0209319535142491
-600,100,1.0201485456232275
-500,100,1.019323874066473
-400,100,1.018561288689804
-300,100,1.01908074224354
-200,100,1.018977857318636
-100,100,1.020034817646906
0,100,1.0192787250640334
100,100,1.0212578313101601
200,100,1.020854705880912
300,100,1.0193360404382565
400,100,1.018547302672299
500,100,1.018167378552171
600,100,1.0180865857290635
700,100,1.0208693806932976
800,100,1.0244062724832377
900,100,1.024623969438486
1000,100,1.0046710055996901
-1000,200,1.0319503463786763
-900,200,1.0269507384803742
-800,200,1.0188722916386277
-700,200,1.0182971807042067
-600,200,1.0185168840414027
-500,200,1.018916187453229
-400,200,1.018707526545051
-300,200,1.0186584026396073
-200,200,1.0189452105615802
-100,200,1.0194953798582076
0,200,1.0206776512779092
100,200,1.0213140756335213
200,200,1.0208472341863282
300,200,1.0202869684756908
400,200,1.0187187876313684
500,200,1.0180649093716743
600,200,1.0181607573300648
700,200,1.0210889458764236
800,200,1.0215298396562915
900,200,1.0231817541416883
1000,200,1.0014140817296464
-1000,300,1.0342944157908387
-900,300,1.029104639320821
-800,300,1.0197972523171026
-700,300,1.0182899815866577
-600,300,1.0184977451824813
-500,300,1.019249629791439
-400,300,1.019010163020672
-300,300,1.0181943755919265
-200,300,1.0194846180795742
-100,300,1.0196268733922718
0,300,1.0192990927735817
100,300,1.0202855964916602
200,300,1.0208023814010745
300,300,1.019835564008596
400,300,1.0190679655851131
500,300,1.0189051261249182
600,300,1.0192896735734958
700,300,1.0224311481598671
800,300,1.0227475811790847
900,300,1.021323080158596
1000,300,1.0
-1000,400,1.035351563411298
-900,400,1.0324440102857217
-800,400,1.0242069785705517
-700,400,1.0185275285004756
-600,400,1.019464961090445
-500,400,1.019599209589424
-400,400,1.019335727490744
-300,400,1.01802197930238
-200,400,1.0184701539820924
-100,400,1.018903532162843
0,400,1.0191431596115885
100,400,1.0211297561288892
200,400,1.0197264197889737
300,400,1.019840423915439
400,400,1.0185514704479124
500,400,1.0190230910729814
600,400,1.0225603633975073
700,400,1.0222492523991573
800,400,1.022364124289189
900,400,1.0174633859073792
1000,400,1.0
-1000,500,1.034984037466318
-900,500,1.038502910993137
-800,500,1.0305974869878265
-700,500,1.0213668707073307
-600,500,1.0194190804015824
-500,500,1.0193110980743507
-400,500,1.0193505297803003
-300,500,1.0191230766201704
-200,500,1.0186731596942673
-100,500,1.0188273024321046
0,500,1.0197251266770762
100,500,1.0186529275886962
200,500,1.0194991539665297
300,500,1.0192121725454109
400,500,1.018418276278121
500,500,1.0210362953046002
600,500,1.0258879555804719
700,500,1.0231945932627973
800,500,1.0245706350218406
900,500,1.0091838860340212
1000,500,1.0
-1000,600,1.025966845699013
-900,600,1.0445836838625218
-800,600,1.0376334916019194
-700,600,1.031093741124375
-600,600,1.0217263599223219
-500,600,1.019695675276837
-400,600,1.02022561444504
-300,600,1.0209963309733228
-200,600,1.0191416601047982
-100,600,1.0186529563822913
0,600,1.0187155377634853
100,600,1.0185260523261868
200,600,1.0194839977670338
300,600,1.0192906443280108
400,600,1.0214715153359444
500,600,1.028436070932352
600,600,1.025083076712992
700,600,1.0253239081112187
800,600,1.0171317485005629
900,600,1.0
1000,600,1.0
-1000,700,1.006105892481399
-900,700,1.0332613318161266
-800,700,1.0543862568830145
-700,700,1.0408006561273861
-600,700,1.0338200212504125
-500,700,1.024983837111392
-400,700,1.0220346524809276
-300,700,1.0216903095582284
-200,700,1.0197415307799509
-100,700,1.0183348330735575
0,700,1.0184857902181796
100,700,1.018680024350938
200,700,1.0202320579211042
300,700,1.0238349298301797
400,700,1.031896524953083
500,700,1.030166435371173
600,700,1.0261443064659552
700,700,1.0217518382379
800,700,1.004406236472895
900,700,1.0
1000,700,1.0
-1000,800,1.0
-900,800,1.0096462600099436
-800,800,1.0320370403723302
-700,800,1.0594060397697125
-600,800,1.0448229099990043
-500,800,1.0429324552870174
-400,800,1.0397195005861224
-300,800,1.0294162542974326
-200,800,1.0267321581450057
-100,800,1.0248836988869907
0,800,1.0256585568800807
100,800,1.0290722224332745
200,800,1.0348714351635897
300,800,1.0408475137118018
400,800,1.032735893868294
500,800,1.0279758706445574
600,800,1.0217016737867328
700,800,1.006767631565467
800,800,1.0
900,800,1.0
1000,800,1.0
-1000,900,1.0
-900,900,1.0
-800,900,1.0055621621995257
-700,900,1.0222771908932595
-600,900,1.0637886394459077
-500,900,1.052368920557699
-400,900,1.0457013162152757
-300,900,1.0471050416822296
-200,900,1.0483265002076647
-100,900,1.0471991465737578
0,900,1.0477989800815275
100,900,1.0474088064858194
200,900,1.0392003524578952
300,900,1.0332513220755775
400,900,1.0289889712919242
500,900,1.0182270245654659
600,900,1.004054971933909
700,900,1.0
800,900,1.0
900,900,1.0
1000,900,1.0
-1000,1000,1.0
-900,1000,1.0
-800,1000,1.0
-700,1000,1.0
-600,1000,1.011155013595941
-500,1000,1.0206879586821453
-400,1000,1.0426664288676588
-300,1000,1.050997206435568
-200,1000,1.0486429906526211
-100,1000,1.044150721144224
0,1000,1.0410528864871624
100,1000,1.0374243524041664
200,1000,1.0279454448255814
300,1000,1.018292576881227
400,1000,1.006710895166003
500,1000,1.0
600,1000,1.0
700,1000,1.0
800,1000,1.0
900,1000,1.0
1000,1000,1.0
